som_label,Year,oni_critical_mean_top2
0,1982,0.7717270194986072
0,1983,0.7165738161559888
0,1984,-0.34832869080779943
0,1985,-0.6351671309192201
0,1986,0.07653203342618385
0,1987,1.3200557103064066
0,1988,-0.5677576601671309
0,1989,-0.6997214484679666
0,1990,0.3064763231197772
0,1991,0.48084958217270196
0,1992,0.7889275766016713
0,1993,0.3610724233983287
0,1994,0.3564066852367688
0,1995,-0.013231197771587749
0,1996,-0.48022284122562675
0,1997,0.9187325905292478
0,1998,0.19498607242339824
0,1999,-1.162674094707521
0,2000,-0.845682451253482
0,2001,-0.2927576601671309
0,2002,0.5154596100278552
0,2003,0.2786908077994429
0,2004,0.42534818941504177
0,2005,0.1733983286908078
0,2006,-0.11984679665738161
0,2007,-0.4524373259052925
0,2008,-0.792200557103064
0,2009,0.04623955431754875
0,2010,-0.25250696378830084
0,2011,-0.825208913649025
0,2012,-0.15355153203342617
0,2013,-0.3325905292479108
0,2014,-0.04735376044568245
0,2015,1.2513231197771586
0,2016,0.534958217270195
1,1982,0.7709558823529412
1,1983,0.7524509803921569
1,1984,-0.39276960784313725
1,1985,-0.6512254901960784
1,1986,0.07965686274509806
1,1987,1.3234068627450981
1,1988,-0.5373774509803921
1,1989,-0.7449754901960784
1,1990,0.2844362745098039
1,1991,0.5143382352941176
1,1992,0.7941176470588235
1,1993,0.31409313725490196
1,1994,0.360171568627451
1,1995,0.024754901960784316
1,1996,-0.5033088235294118
1,1997,0.9104166666666667
1,1998,0.2330882352941176
1,1999,-1.205392156862745
1,2000,-0.9022058823529411
1,2001,-0.3242647058823529
1,2002,0.5115196078431373
1,2003,0.33125
1,2004,0.4469362745098039
1,2005,0.1674019607843137
1,2006,-0.128921568627451
1,2007,-0.3857843137254902
1,2008,-0.8191176470588235
1,2009,0.05784313725490195
1,2010,-0.20870098039215687
1,2011,-0.8705882352941177
1,2012,-0.18357843137254903
1,2013,-0.3371323529411765
1,2014,-0.03762254901960785
1,2015,1.2650735294117645
1,2016,0.5919117647058824
2,1982,1.272695035460993
2,1983,-0.14680851063829786
2,1984,-0.25868794326241135
2,1985,-0.4700354609929078
2,1986,0.4778368794326241
2,1987,1.5703900709219858
2,1988,-1.1632978723404255
2,1989,-0.2884751773049645
2,1990,0.3721631205673759
2,1991,0.6140070921985815
2,1992,0.11826241134751773
2,1993,0.2785460992907801
2,1994,0.4932624113475177
2,1995,-0.5514184397163121
2,1996,-0.35443262411347515
2,1997,1.8657801418439715
2,1998,-1.0122340425531917
2,1999,-1.1469858156028367
2,2000,-0.5427304964539007
2,2001,-0.16436170212765958
2,2002,0.9085106382978723
2,2003,0.2049645390070922
2,2004,0.602482269503546
2,2005,-0.07659574468085106
2,2006,0.34361702127659577
2,2007,-0.8796099290780143
2,2008,-0.2918439716312057
2,2009,0.5982269503546099
2,2010,-1.3028368794326242
2,2011,-0.6906028368794326
2,2012,0.3131205673758865
2,2013,-0.31365248226950354
2,2014,0.15851063829787235
2,2015,1.9203900709219857
2,2016,-0.449645390070922
3,1982,0.7965170278637772
3,1983,0.7157894736842105
3,1984,-0.37082043343653254
3,1985,-0.6520897832817337
3,1986,0.07786377708978329
3,1987,1.2739164086687307
3,1988,-0.6757739938080496
3,1989,-0.6430340557275541
3,1990,0.30526315789473685
3,1991,0.495046439628483
3,1992,0.7837461300309597
3,1993,0.41787925696594425
3,1994,0.37306501547987614
3,1995,-0.028328173374613005
3,1996,-0.4326625386996904
3,1997,0.9807275541795667
3,1998,0.1435758513931888
3,1999,-1.1299535603715172
3,2000,-0.7886222910216718
3,2001,-0.27801857585139317
3,2002,0.5276315789473685
3,2003,0.1705108359133127
3,2004,0.40379256965944266
3,2005,0.17453560371517027
3,2006,-0.0836687306501548
3,2007,-0.46648606811145515
3,2008,-0.7416408668730651
3,2009,0.09156346749226005
3,2010,-0.32724458204334367
3,2011,-0.7630804953560372
3,2012,-0.1423374613003096
3,2013,-0.33908668730650154
3,2014,0.023219814241486073
3,2015,1.2458978328173376
3,2016,0.4102167182662539
4,1982,0.7410231660231661
4,1983,0.722007722007722
4,1984,-0.3502895752895753
4,1985,-0.6348455598455599
4,1986,0.061389961389961396
4,1987,1.3141891891891893
4,1988,-0.6571428571428573
4,1989,-0.66496138996139
4,1990,0.30926640926640925
4,1991,0.4966216216216216
4,1992,0.7879343629343629
4,1993,0.3879343629343629
4,1994,0.35772200772200774
4,1995,-0.0032818532818532837
4,1996,-0.45386100386100386
4,1997,0.9478764478764479
4,1998,0.1537644787644787
4,1999,-1.140057915057915
4,2000,-0.8173745173745174
4,2001,-0.267953667953668
4,2002,0.5329150579150579
4,2003,0.22326254826254827
4,2004,0.4055984555984556
4,2005,0.1554054054054054
4,2006,-0.1111003861003861
4,2007,-0.4527992277992278
4,2008,-0.771042471042471
4,2009,0.07413127413127413
4,2010,-0.29932432432432426
4,2011,-0.7672779922779922
4,2012,-0.13532818532818533
4,2013,-0.3415057915057915
4,2014,-0.02972972972972973
4,2015,1.2298262548262546
4,2016,0.4638030888030888
5,1982,0.9017100977198697
5,1983,0.496742671009772
5,1984,-0.35268729641693813
5,1985,-0.5924267100977199
5,1986,0.18135179153094463
5,1987,1.3903908794788273
5,1988,-0.7523615635179153
5,1989,-0.5970684039087948
5,1990,0.31441368078175896
5,1991,0.5473941368078176
5,1992,0.6051302931596091
5,1993,0.32174267100977194
5,1994,0.3964169381107492
5,1995,-0.14283387622149837
5,1996,-0.448371335504886
5,1997,1.185342019543974
5,1998,-0.1330618892508144
5,1999,-1.1742671009771988
5,2000,-0.7824918566775244
5,2001,-0.2627035830618893
5,2002,0.6308631921824105
5,2003,0.2631107491856678
5,2004,0.47752442996742667
5,2005,0.09275244299674267
5,2006,0.008387622149837135
5,2007,-0.5446254071661238
5,2008,-0.6663680781758958
5,2009,0.21758957654723127
