som_label,Year,oni_critical_mean,yield_anomaly_mean,n_pixels
0,1982,0.7717270194986072,0.07176452396273929,718
0,1983,0.7165738161559888,0.01300319132747253,718
0,1984,-0.34832869080779943,0.16822733277095675,718
0,1985,-0.6351671309192201,0.01913527485686805,718
0,1986,0.07653203342618384,0.046146886350343926,718
0,1987,1.3200557103064066,-0.06720716104934167,718
0,1988,-0.5677576601671309,-0.1339201130797246,718
0,1989,-0.6997214484679666,0.22896977161685741,718
0,1990,0.3064763231197771,-0.015149648544683147,718
0,1991,0.48084958217270196,0.25076898742139,718
0,1992,0.7889275766016713,-0.03826658572407548,718
0,1993,0.3610724233983287,0.0914692674143889,718
0,1994,0.3564066852367688,-0.03573067835807764,718
0,1995,-0.013231197771587743,0.08174919553440256,718
0,1996,-0.48022284122562675,0.46475644666418786,718
0,1997,0.9187325905292478,-0.1223973792961093,718
0,1998,0.1949860724233983,0.027683354361256147,718
0,1999,-1.162674094707521,0.05788014563115115,718
0,2000,-0.8456824512534818,-0.09009972704129558,718
0,2001,-0.2927576601671309,0.04059358079353326,718
0,2002,0.5154596100278552,0.013697252202354904,718
0,2003,0.2786908077994429,0.19814891862753692,718
0,2004,0.42534818941504177,0.00038546908570535947,718
0,2005,0.1733983286908078,0.10664573499565966,718
0,2006,-0.11984679665738161,0.06438539867783237,718
0,2007,-0.4524373259052925,0.012875683322617935,718
0,2008,-0.792200557103064,0.13934611014501014,718
0,2009,0.04623955431754876,0.02704417261730848,718
0,2010,-0.2525069637883008,0.11519821138314294,718
0,2011,-0.825208913649025,0.07849500714122704,718
0,2012,-0.15355153203342617,0.03548117609454473,718
0,2013,-0.3325905292479108,-0.21421596732700518,718
0,2014,-0.04735376044568245,0.04967456867640791,718
0,2015,1.2513231197771586,-0.35284195247321576,718
0,2016,0.534958217270195,-0.4004787553719444,718
1,1982,0.7709558823529412,-0.15465989697772517,408
1,1983,0.7524509803921569,0.03892961694563222,408
1,1984,-0.39276960784313725,0.038613606903013804,408
1,1985,-0.6512254901960784,0.050267959655006876,408
1,1986,0.07965686274509806,-0.04575474189030002,408
1,1987,1.3234068627450981,-0.12912998919459734,408
1,1988,-0.5373774509803921,0.23152530492593631,408
1,1989,-0.7449754901960784,0.22068842866842625,408
