som_label,Year,oni_critical_mean
0,1982,1.098439830055429
0,1983,0.27568540558791255
0,1984,-0.42863947875089936
0,1985,-0.550831484362125
0,1986,0.3143913769610148
0,1987,1.3627616394747315
0,1988,-0.936291657120348
0,1989,-0.511511845474241
0,1990,0.3223015169602913
0,1991,0.6294891212161408
0,1992,0.47999745766458857
0,1993,0.3052751952473401
0,1994,0.48003904946801884
0,1995,-0.283064870752893
0,1996,-0.4284024486810002
0,1997,1.3786389662643144
0,1998,-0.35077029748338945
0,1999,-1.201625014570697
0,2000,-0.7421818161720668
0,2001,-0.26153966043241805
0,2002,0.7279956649664171
0,2003,0.23950903785165623
0,2004,0.49889345102437016
0,2005,-0.001635455228770016
0,2006,0.15240537085940986
0,2007,-0.6975920868051787
0,2008,-0.6373011351075417
0,2009,0.39076746373403753
0,2010,-0.7188561701375071
0,2011,-0.809697562573607
0,2012,-0.00721674564989325
0,2013,-0.3151034318513427
0,2014,0.12659979219171416
0,2015,1.5953330861339217
0,2016,0.08307531141096601
1,1982,1.1532522529213707
1,1983,0.2257156650539003
1,1984,-0.46963963868375636
1,1985,-0.545511964886965
1,1986,0.3571894186967716
1,1987,1.3489748677248679
1,1988,-0.967371721415839
1,1989,-0.5060444960812608
1,1990,0.32594509520980103
1,1991,0.6765048772034067
1,1992,0.45636963118580764
1,1993,0.28617500282941455
1,1994,0.5136593349460996
1,1995,-0.3107031802620038
1,1996,-0.43825784101519394
1,1997,1.4154954481792716
1,1998,-0.38962984183572424
1,1999,-1.2342748740910505
1,2000,-0.7548496696658462
1,2001,-0.2707990974167444
1,2002,0.7447417274990804
1,2003,0.25972038310273604
1,2004,0.5094559035735506
1,2005,-0.04020278060719238
1,2006,0.18543735676088616
1,2007,-0.7347980151656622
1,2008,-0.6555248917748917
1,2009,0.4462750226353167
1,2010,-0.7430499144102084
1,2011,-0.8344736935178111
1,2012,-0.026074187250657795
1,2013,-0.3137749165322694
1,2014,0.15173669467787107
1,2015,1.6439183678521914
1,2016,0.07601561836855954
2,1982,1.4428920409771475
2,1983,-0.27070429472025215
2,1984,-0.4395902285263987
2,1985,-0.4367090228526399
2,1986,0.584688731284476
2,1987,1.4749605988967691
2,1988,-1.3216272655634356
2,1989,-0.27623916469661147
2,1990,0.35580378250591016
2,1991,0.7572783687943263
2,1992,0.08693853427895988
2,1993,0.2271050039401103
2,1994,0.5954472025216705
2,1995,-0.6138435776201734
2,1996,-0.361647951142632
2,1997,1.9326152482269505
2,1998,-1.0575364460204886
2,1999,-1.2230486603624902
2,2000,-0.5943085106382978
2,2001,-0.20224290780141843
2,2002,0.974844365642238
2,2003,0.2228398345153664
2,2004,0.6018676122931442
2,2005,-0.1946306146572104
2,2006,0.4486347517730496
2,2007,-0.9912056737588654
2,2008,-0.40344070133963744
2,2009,0.7604403073286051
2,2010,-1.2983175728920409
2,2011,-0.7741065799842396
2,2012,0.222521670606777
2,2013,-0.2932259653270291
2,2014,0.2618370764381402
2,2015,2.0042297084318363
2,2016,-0.4765937746256896
3,1982,1.1266511867905058
3,1983,0.23113906088751293
3,1984,-0.4349557103543172
3,1985,-0.543031045751634
3,1986,0.33664774681802545
3,1987,1.3584008427932577
3,1988,-0.9926608187134504
3,1989,-0.47872807017543856
3,1990,0.32817638458892323
3,1991,0.6485870313037495
3,1992,0.45199690402476783
3,1993,0.3127081183350533
3,1994,0.4960337117303062
3,1995,-0.31174019607843134
3,1996,-0.41552244582043335
3,1997,1.4294775541795666
3,1998,-0.417312521499828
3,1999,-1.1990535775713795
3,2000,-0.7186781905744755
3,2001,-0.24998796009631916
3,2002,0.7481609047127623
3,2003,0.21762512899896796
3,2004,0.4998163914688682
3,2005,-0.02375945992432061
3,2006,0.18073830409356725
3,2007,-0.7325494496044032
3,2008,-0.6157701238390092
3,2009,0.4322338321293429
3,2010,-0.7770571035431717
3,2011,-0.790765393876849
3,2012,0.007741658066735506
3,2013,-0.3161635706914344
3,2014,0.14698959408324727
3,2015,1.6233651530787752
3,2016,0.018223684210526312
4,1982,1.0489168714168713
4,1983,0.33803537999966565
4,1984,-0.42053994161137015
4,1985,-0.5665956796313939
4,1986,0.27763893067464496
4,1987,1.3458051418765704
4,1988,-0.9355136374779233
4,1989,-0.512831465510037
4,1990,0.32137493244636095
4,1991,0.617081564402993
4,1992,0.5205361739290311
4,1993,0.3341933399076256
4,1994,0.4672131338202767
4,1995,-0.24681086931086926
4,1996,-0.41784805445519735
4,1997,1.3392477937120795
4,1998,-0.30251705555276986
4,1999,-1.1827661265161264
4,2000,-0.7339755525469811
4,2001,-0.2543316020101734
4,2002,0.7054256227470513
4,2003,0.20427221748650318
4,2004,0.4789844459487317
4,2005,0.01782886086457514
4,2006,0.12481763999621143
4,2007,-0.667262399226685
4,2008,-0.6385016045730331
4,2009,0.3615989807061235
4,2010,-0.689076499969357
4,2011,-0.7789390317961746
4,2012,-0.01841739234596375
