label,nino12,nino3,nino34,nino4,iod_w,iod_e,tna,tsa
0,-0.03868125,-0.0556321,-0.06629523,-0.051284853,-0.029212559,-0.015577198,0.008743271,0.008977197
1,-0.081217684,-0.1458714,-0.19202834,-0.18961884,-0.019139154,0.0019084328,0.0082808975,0.0103176655
2,0.16066957,0.24054313,0.24049951,0.116267994,0.12766963,0.08449675,0.026593609,-0.022751208
3,0.0031920203,-0.04511252,-0.08912225,-0.105835564,0.010900617,0.09335496,0.02710692,0.033188865
4,-0.017846705,-0.0070239166,0.00080594415,0.0058228774,-0.035147585,-0.07801417,-0.034660947,-0.02446311
5,0.056508336,0.07451882,0.07115822,0.040856726,0.034048956,0.05108252,0.011446637,0.00466685
