lat,lon,años_validos,gap,longest_run,cluster_raw,cluster,std
-36.25,295.25,35,1,35,0.0,3.0,0.7102667
-36.25,295.75,34,2,33,0.0,3.0,0.67955095
-36.25,296.25,34,2,33,0.0,3.0,0.6344037
-36.25,296.75,34,2,33,0.0,3.0,0.6568921
-36.25,297.25,35,1,35,0.0,3.0,0.74747425
-36.25,297.75,34,2,33,0.0,3.0,0.65414655
-36.25,298.25,34,2,33,0.0,3.0,0.70775324
-36.25,298.75,34,2,33,0.0,3.0,0.6945689
-36.25,299.25,35,1,35,0.0,3.0,1.040824
-36.25,299.75,35,1,35,0.0,3.0,0.9791519
-36.25,300.25,34,2,33,0.0,3.0,0.9601921
-36.25,300.75,35,1,35,0.0,3.0,1.0457317
-36.25,301.25,34,2,33,0.0,3.0,1.0228082
-36.25,301.75,34,2,33,0.0,3.0,1.0011479
-36.25,302.25,35,1,35,0.0,3.0,1.0719827
-35.75,146.75,35,1,35,0.0,3.0,0.9767935
-35.75,147.25,35,1,35,0.0,3.0,1.4991996
-35.75,147.75,35,1,35,0.0,3.0,1.616264
-35.75,287.75,34,2,33,0.0,3.0,0.45239398
-35.75,288.25,35,1,35,0.0,3.0,1.1134403
-35.75,288.75,34,2,33,0.0,3.0,1.8909103
-35.75,293.75,34,2,33,0.0,3.0,0.32681093
-35.75,294.25,34,2,33,0.0,3.0,0.5182032
-35.75,294.75,34,2,33,0.0,3.0,0.5437855
-35.75,295.25,35,1,35,0.0,3.0,0.7395528
-35.75,295.75,34,2,33,0.0,3.0,0.68368787
-35.75,296.25,34,2,33,0.0,3.0,0.7614805
-35.75,296.75,34,2,33,0.0,3.0,0.74696636
-35.75,297.25,34,2,33,0.0,3.0,0.8013743
-35.75,297.75,34,2,33,0.0,3.0,0.75908285
-35.75,298.25,34,2,33,0.0,3.0,0.67150563
-35.75,298.75,35,1,35,0.0,3.0,0.8882384
-35.75,299.25,34,2,33,0.0,3.0,0.74976546
-35.75,299.75,34,2,33,0.0,3.0,0.8918469
-35.75,300.25,34,2,33,0.0,3.0,1.0300871
-35.75,300.75,34,2,33,0.0,3.0,0.9928978
-35.75,301.25,35,1,35,0.0,3.0,1.0759995
-35.75,301.75,35,1,35,0.0,3.0,1.1744101
-35.75,302.25,35,1,35,0.0,3.0,1.0832983
-35.25,143.25,35,1,35,0.0,3.0,0.5873338
-35.25,143.75,35,1,35,0.0,3.0,0.48854077
-35.25,144.25,35,1,35,0.0,3.0,0.9557593
-35.25,144.75,35,1,35,0.0,3.0,0.16082467
-35.25,146.25,35,1,35,0.0,3.0,0.6772403
-35.25,146.75,35,1,35,0.0,3.0,0.86946523
-35.25,147.25,35,1,35,0.0,3.0,1.0082295
-35.25,147.75,35,1,35,0.0,3.0,3.5809345
-35.25,148.25,35,1,35,0.0,3.0,1.3420463
-35.25,288.25,36,0,36,0.0,3.0,0.98262733
-35.25,288.75,35,1,35,0.0,3.0,1.572435
-35.25,289.25,34,2,33,0.0,3.0,2.2052157
-35.25,292.25,34,2,33,0.0,3.0,0.3231108
-35.25,294.25,34,2,33,0.0,3.0,0.53345156
-35.25,294.75,35,1,35,0.0,3.0,0.6998903
-35.25,295.25,35,1,35,0.0,3.0,0.712641
-35.25,295.75,34,2,33,0.0,3.0,0.83677566
-35.25,296.25,35,1,35,0.0,3.0,0.84617406
-35.25,296.75,35,1,35,0.0,3.0,1.0874864
-35.25,297.25,34,2,33,0.0,3.0,0.8596811
-35.25,297.75,35,1,35,0.0,3.0,0.9426054
-35.25,298.25,34,2,33,0.0,3.0,0.87897706
-35.25,298.75,34,2,33,0.0,3.0,0.74312603
-35.25,299.25,35,1,35,0.0,3.0,0.78892684
-35.25,299.75,34,2,33,0.0,3.0,0.824215
-35.25,300.25,34,2,33,0.0,3.0,0.9366965
-35.25,300.75,34,2,33,0.0,3.0,1.0341262
-35.25,301.25,34,2,33,0.0,3.0,1.0802855
-35.25,301.75,34,2,33,0.0,3.0,1.0905465
-35.25,302.25,34,2,33,0.0,3.0,1.0763109
-34.75,142.75,35,1,35,0.0,3.0,0.4066071
-34.75,143.25,35,1,35,0.0,3.0,0.2091392
-34.75,143.75,36,0,36,0.0,3.0,0.596763
-34.75,144.25,36,0,36,0.0,3.0,1.0004854
-34.75,144.75,35,1,35,0.0,3.0,0.81030804
-34.75,145.25,35,1,35,0.0,3.0,0.8299956
